№;Offer ID;Категория;Номенклатура;Фактура;Маркетинговая цена;Мин. цена конкурентов
1;50810_ch_2;Подстолье;Для 1600x800;Металлокаркас Черный;289,50;207,54
2;50885_z_chmatgl_5;Компьютерные столы;Подъемный 1600x800;Дуб золотой крафт;3 072,15;0,00
3;51392_bk_3;Столешница;прямоугольная 2000х900 (36);Дуб белый крафт;416,73;0,00
4;51396_t_ch_8;Обеденные столы;1400х800;Дуб табачный крафт;528,78;466,41
5;51780_t_ch_6;Обеденные столы;1800х1000 (36);Дуб табачный крафт;775,68;748,29
6;48110_bk_ch_1;Обеденные столы;1300х800 (18);Дуб белый крафт;382,71;345,63
7;49518_t_ch_2;Компьютерные столы;1 1300х850;Дуб табачный крафт;526,83;0,00
8;51717_ch_1;Подстолье;Для 1030*680;Металлокаркас Черный;381,15;343,68
9;44713_bet_g_17;Письменные столы;1600х800;Бетон;910,35;0,00
10;46527_t_3;Столешница;С закруг.углами 1200х700 (36);Дуб табачный крафт;261,39;0,00
11;47184_t_ch_5;Обеденные столы;2 круглая D1000;Дуб табачный крафт;623,79;0,00
12;46532_bet_6;Столешница;С закруг.углами 2000х1000 (36);Бетон;556,20;0,00
13;50758_clf_ch_3;Сад;Керамогранит 1200х600;Керамогранит Бетон Клифф;570,78;584,61
14;50662_z_ch_2;Письменные столы;1800х800;Дуб золотой крафт;624,00;634,14
15;51126_b_b_4;Компьютерные столы;с вырезом 1600х800;Белый;761,73;0,00
16;51126_bk_ch_1;Компьютерные столы;с вырезом 1600х800;Дуб белый крафт;1 386,90;0,00
17;50552_t_3;Столешница;прямоугольная 1800х800 (36);Дуб табачный крафт;404,97;292,35
18;50578_z_ch_5;Столешница;геймерская 1300х800 (36);Дуб золотой крафт;292,59;316,14
19;50788_ccn_ch_2;Сад;Керамогранит 600х600;Керамогранит Бетон Канон 1;263,76;361,53
20;50600_ch_2;Аксессуары для компьютерных столов;Держатель для системного блока;Металлокаркас Черный;113,13;105,69
21;51495_b_b_1;Столешница;геймерская 1800х800 (36);Белый;400,44;283,74
22;50552_z_2;Столешница;прямоугольная 1800х800 (36);Дуб золотой крафт;352,38;292,35
23;50663_bk_ch_2;Обеденные столы;2 круглая D1200;Дуб белый крафт;584,19;526,74
24;50673_b_b_1;Обеденные столы;2000х800 (18);Белый;612,51;607,17
